Timestamp,Which country did you attend High School In?,What year did you graduate High School?,Which state did you go to High School in?,Did you sing at religious services?,"If Yes, Which religion did you practice?",Do you have a favorite TV Show or Movie?,Do you remember going to see live music?,"If so, Can you remember any bands/artists you went to see?",Do you like to dance?,"If so, what type of dance?",Do you have a favorite classical music composer?,Who was your favorite singer?,What was your favorite type of music?,"If you served in the militiary, which branch did you serve in?",Do you have a favorite song from when you were in high school / college?,Do you speak any other languages besides English?,What is the first song you remember hearing?,Song 1,Song 2,Song 3,Song 4,Song 5,Song 6,Song 7,Song 8,Song 9,Song 10,"If so, Can you remember their name?",What years did you serve?,,,,,,Do you remember a style of music from when you traveled somewhere special? ,Song 11,Song 12,Song 13,Song 14,Song 15,Song 16,Song 17,Song 18,Song 19,Song 20,Song 21,Song 22,Song 23,Song 24,Song 27,Song 25,Song 26,,Song 27,Song 28,Song 29,Song 30
7/22/2018 15:33:11,Us,1956,Minnesota,Yes,Catholic,,Yes,,Yes,Ballroom,Yes,Been crosby,,,,,,,,,,,,,,,,Bethovan,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,
7/23/2018 19:25:04,United States,1985,Kansas,Yes,Christianity,Not really,Yes,"Tony Bennett, Garth Brooks, Bruce Springsteen ",Yes,All types,Yes,Sinatra,Jazz,,,"French, Spanish, German",Itsy Bitsy Spider,Rock This Town,Don’t Worry Be Happy,Raspberry Bereit ,I’m so Excited,We Built This City,1999,Eye of the Tiger,Let’s Go Crazy,Old Time Rock and Roll,Sweet Caroline,Chopin,,,,,,,Jazz ,Born in the USA,Safety Dance,,,,,,,,,,,,,,,,,,,,
7/23/2018 19:33:16,India,1979,Maharashtra,Yes,Hindu,Per suits of happiness,Yes,Yes,Yes,Indonesian classical,No,Talat mahmood,Hindi melody,Air Force,,Hindi,Many,Lag ja gale,Hame tumse pyar kitna,Sau sall pahle,O meri mahbooba,Parbat ke peeche,Chalo dildar ,Mere sapno ki rani,Palak pe jitne sitare,Huyi mahangi bahut hi sharab,,,1981,,,,,,Nope,,,,,,,,,,,,,,,,,,,,,,
7/23/2018 19:59:28,United States ,1959,Kansas,No,Protestant ,MNFootball,Yes,Linda Ronstat. Tom Jones,No,,No,Kenny Rogers,Country,Army,,No,Fats Domino,Twist and Shout,Johnny Be Good,Blue Monday,Jail House Rock,Blue suede shoes,Viva Las Vegas,,,,,,1960-1962,,,,,,50’s,,,,,,,,,,,,,,,,,,,,,,
7/24/2018 13:00:14,United States,1957,Michigan,Yes,Methodist,Movie Dances WolvesWith ,Yes,Local outdoor concerts,Yes,Any slow dance,No,Eddie Fisher,Popular,,,,You are my Sunshine,Blue Moon,There’ll Be Bluebirds Over the White Cliffs of Dover,Till Then,Only You,Earth Angel,Autumn Leaves,Moonlight in Vermont ,I’ll Be Seeing You,Three Coins in a Fountain,The Wayward Wind,I liked many composers,,,,,,,Irish,Believe ,Mister Sandman,,,,,,,,,,,,,,,,,,,,
7/24/2018 13:15:26,USA,1965,Mo,Yes,Catholic,"As a kid, loved Lone Ranger, Hop A Long Cassidy, Cisco Kid. Older, I liked American Bandstand",No,,Yes,"The Pony, Watusi, West Coast, Dirty Dog and The Twist",No,"The Animals, Leslie Gore",Popular,Army,,No,Can’t remember,My boyfriends back,The rising sun,,,,,,,,,,1970-1976,,,,,,1950’s or 60’s rock,,,,,,,,,,,,,,,,,,,,,,
7/24/2018 15:43:36,US,1988,TN,No,Methodist,Lost in translation,Yes,"Johnny cash, Garth Brooks",Yes,,Yes,Prince,"Popular, Country",,,,You are y sunshine ,,,,,,,,,,,Mozart,,,,,,,Polka,,,,,,,,,,,,,,,,,,,,,,
7/24/2018 20:15:16,United States,1944,Missouri,No,Christian,NCIS,Yes,Frank Sinatra,Yes,Swing,No,Barbra Streisand,Popular,Navy,,No,String of Pearls,String of Pearls,Blue Moon,People,Somewhere,,,,,,,,1945,,,,,,Popular,,,,,,,,,,,,,,,,,,,,,,
7/24/2018 21:37:32,United States,1989,Missouri,No,,Steel Magnolias ,Yes,Paint the Earth ,Yes,"Pop, old school hip hop, alternative ",No,"Annie Lenox, Sting, steve Perry ",Popular,,,No,Copacabana ,Don’t Stop Believin,Your Love - Outfield,Every breath you take ,Blame it on the Rain - milli vanilli,Rappers Delight ,Here comes the rain again ,Right Now- Van Halen ,It takes Two ,Seeds of Love ,It’s the end of the world as we know it ,,,,,,,,Pop.,Heart of the Matter,Photograph,Respect ,Space Between ,Oh Darling,Ice Ice baby ,Bristol Hotel,,,,,,,,,,,,,,,
7/24/2018 23:15:28,USA,1963,PA,Yes,Catholic,The Big Bang Theory,Yes,Elvis Presley,No,,Yes,Beach Boys,Popular,,,No,In The Mood,Surfin Safari,Kokomo,Ain’t Nothin but a Hound Dog,Summer Place,Love Me Tender,Blueberry Hill,Little Darlin’,Surfin USA,All Shook Up,Good Vibrations,Beethoven,,,,,,,Big Band Music,Peggy Sue,Diana,Whole Lot of Shakin Going On,California Girls,That’ll Be the Day,I Get Around,Where the Boys Are,Happy Happy Birthday Baby,Wake Up Little Susie,Rocky Mountain High,Mack the Knife,Charlie on the MTA,Venus,Lonely Boy,,The Twist,Lovin’ Feelin’,,Jailhouse Rock,Tequila,Will You Love Me Tomorrow,Love Me Tender
7/25/2018 12:47:46,U.S.A,1968,Oklahoma,Yes,Christian,yes,Yes,orchestra concerts,No,,Yes,Andy Williams ,"Popular, Gospel",,,no,Jesus Loves Me,OKLAHOMA,Oh! What a beautiful Morning,Everthings up to date in Kansas City,Getting to know you,How Great Thou Art,"Oh, For a Thousand Tongues to Sing",You Are My Sunshine,Moon River ,Hallelujah Chorus,God Bless America,George Handel,,,,,,,Big band,This Land is Your Land ,Amazing Grace ,"Holy, Holy, Holy ",How Do You Solve a problem like Maria,It is Well with my soul,,,,,,,,,,,,,,,,,
7/25/2018 13:43:36,U.S.A.,1967,Kansas,Yes,christian,i love lucy,Yes,andy williams / jim brickman,Yes,latin / waltz,Yes,amy grant / ben crowsby,"Popular, classical",,,no,the abc's,wake up little susie,how much is that doggie in the window,blue velvet,unforgetable,white christmas,holy holy holy,sentamental journey,kay sara sara,favorite things,we have only just begun,beethoven,,,,,,,latin,a hard days night,yellow submarine,surfin U.S.A.,exodus,a many splendered thing,baby its cold outside,rhapsody in blue,,,,,,,,,,,,,,,
7/25/2018 13:53:41,U.S.A.,1968,kansas,No,,seceratariot,Yes,dino,Yes,classicle,Yes,andy williams,"Popular, Country",,,no,mary had a little lamb,take me out to the ball game,white christmas,i wanna hold your hand,we have only just begun,roldoph the red nosed reindeer,,,,,,ferente teischer,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,
7/26/2018 10:56:35,America,56,Missouri,Yes,jewish,,Yes,Pop,Yes,,Yes,,Popular,,,hebrew,,,,,,,,,,,,Mozart,,,,,,,violin,,,,,,,,,,,,,,,,,,,,,,
7/26/2018 10:56:38,,,,,,,Yes,,Yes,,Yes,,"Popular, Classical",Army,,,,,,,,,,,,,,Mozart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2018 11:08:37,america,4060,Kansas,Yes,protesant,jimmy allen,Yes,,No,,Yes,,"Popular, Jazz, classical, swing, piano",Air Force,,no,yankee doodle,piano & trumpet,,,,,,,,,,beethoven,2,,,,,,popular,,,,,,,,,,,,,,,,,,,,,,
7/26/2018 11:18:40,US,,Washington,,Christianity; Catholic,,,,,,,,Classical Piano,Navy,,,,,,,,,,,,,,,"IDK, 4 years",,,,,,Piano,,,,,,,,,,,,,,,,,,,,,,
7/26/2018 11:33:21,,,Kansas,Yes,Jewish,,Yes,Marching band,Yes,,Yes,,"Popular, Gospel",,,Hebrew,,Clarinett,Tuxedo junction,Glenn Miller,Romantic music,marching band,,,,,,Beethoven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2018 10:58:27,Bertha Minnesota ,1940,,Yes,Methodus ,,,,,,,Elvis Presley ,,,,,,God bless america,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2018 11:14:13,America,70,Kansas,Yes,catholic,,Yes,,Yes,,Yes,70  rock n roll,"Popular, Jazz",,,French,Some Rock n Roll,Sweet Caroline,The way you look tonight,Twist and Shout,Stayin alive,,,,,,,Popular ones,,,,,,,Paris,,,,,,,,,,,,,,,,,,,,,,
7/27/2018 11:22:12,London,,,No,,,Yes,London symphony ,Yes,,Yes,Frank senatra / Louis armstrong,Jazz,Navy,,French,,I walk the line,Ain't nothing but a hound dog,Take the A train,Wouldn't it be nice,,,,,,,Mozart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2018 11:24:54,,,,No,Baptist,,Yes,Jazz,Yes,,Yes,Frank Sinatra,"Popular, Jazz",,,,,Gleen Miller,God Bless America,Over the Rainbow,You are my Sunshine,Beatles,,,,,,,,,,,,,Haiwai,,,,,,,,,,,,,,,,,,,,,,
7/27/2018 11:48:58,,,,No,Jewish,,Yes,,Yes,,Yes,Hillbilly music ,"Jazz, Country",,,Hebrew,Home on the range,God bless America,Over the Rainbow,Glenn Miller,Jhonny Cash,Perry Como,Cowboy Songs,,,,,popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2018 11:59:31,,,,Yes,Catholic,Game Shows Beverly hillbillys,Yes,Big bands,Yes,Slow Dance,Yes,Frank Sinatra nat king cole,"Popular, Jazz, Country",,,,Chances Are Jhonny Mathis,Gleen miller,Elvis P,Beatles,Harry Belafontay,Artie Shaw,,,,,,,,,,,,,Nebraska ,,,,,,,,,,,,,,,,,,,,,,
7/27/2018 12:06:12,US,,Alabama,Yes,Catholic,,Yes,Frank Sinatra,Yes,Swing,,,"Jazz, Gospel, Classical Rock",,,,,Frank Sonatra Songs,Dean Martin,Sammy Davis Jr.,The Way We Were,New York is my Lady,Elvis Presley,Remastered Music by Beatles/Other bands,What a Wonderful World,Neil Diamond,Barbara Strison,,,,,,,,,Brandy Williams,Jonny Memphis,,,,,,,,,,,,,,,,,,,,
7/28/2018 19:39:09,USA,1986,California ,No,,Yes,Yes,Depeche Mode,Yes,Club ,Yes,Pink,Popular,,,Yes,Grease,September,Unforgettable,Staying Alive,Hopelessly devoted to you ,Xanadu ,We are the Champions,I love rock & roll,Jack & Diane,We belong ,Open arms,Mozart,,,,,,,No,Lights in the city,I wanna know what love is,Careless whispers,Brass monkey,On Bended knee,We belong together ,One sweet day,Hero,Wake me up before you go go,Holiday,Like a virgin,I will always love you,Through the fire,No can do,,Africa ,Free your mind,,Shoop ,It takes two,I like big butts,Friends in low places
7/28/2018 22:53:06,USA,1964,MI,Yes,Baptist,Dick Van Dyke Show,No,,No,,Yes,Pat Boone,Gospel,,,No,Jesus Loves Me,It is no secret what God can do,Via Con Dios,Side by Side,You are my Sunshine,Sweet Hour of Prayer,Jesus Lives the Luttle Children,He Lives,Fairest Lord Jesus,God of Our Fathers,Leaning on the Everlasting Arms,Bach,,,,,,,,When the Roll is Called Up Yonder,Do Lord,Everyday with Jesus is Sweeter than the Day Before,My Country Tis of Thee,Camp Town Races,"This Old Man, He Played One",Yankee Doodle,I’ve Got a Mansion Just Over the Hilltop,Amazing Grace,How Great Thou Art,B I N G O,O Where O Where Has My Little Dog Gone,Texarkana Baby,Ebb Tide,,Puff the Magic Dragon,Where Have All the Flowers Gone,,How Much Is That Doggie in the Window,This Old House,"Oh My Papa, to Me He Was So wonderful",Hound Dog
7/29/2018 8:55:23,United States ,1958,California ,Yes,Christianity,Pink panther,Yes,"Four Seasons, Frank Sinatra, Andy Williams, Dean Martin, Engelbert Humperdinck, Paul Anka, Frankie Avalon, Elvis Presley, Eddie Fisher",No,None,No,Tom Jones,Popular,,,None,Sentimental Journey,Earth Angel,It’s Not Unusual,Delilah,Candy Girl,Working My Way Back to You,Amazing Grace by Elvis Presley,Swing Low Sweet Chariot by Elvis Presley ,Quando Quando Quando,Butterfly,(Where Do I Begin) Love Story,None,None,,,,,,,White Christmas by Andy Williams,Put Your Head On My Shoulder,Lonely Boy,Secret Love,"Que Sera, Sera",Man of La Mancha,The Impossible Dream,,,,,,,,,,,,,,,
7/29/2018 9:08:33,USA ,1954,Missouri,Yes,Catholic,Sound of music ,No,,Yes,At home in the kitchen ,Yes,Joan baez,Classical ,,,No,,,,,,,,,,,,"Mozart, chopin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2018 10:13:23,USA ,1957,Illinois ,Yes,Catholic ,John wain that’s a movie I will watch,Yes,Elvis ,Yes,Boogy Woogy ,No,Susan Boyle ,"Gospel, 60 music ",,,No,30’s,Elvis ,,,,,,,,,,,,,,,,,Rock and roll ( Elvis ),,,,,,,,,,,,,,,,,,,,,,
7/29/2018 10:32:16,United States of America,1954,Illinois,Yes,Christianity (Lutheran),Quiet Man,Yes,John Denver,Yes,The Twist,No,John Denver,"Country, Gospel",Navy,,,N/A,John Denver,Elvis Presley,Marty Robins,,,,,,,,,1955-1959,,,,,,"Country, Gospel",,,,,,,,,,,,,,,,,,,,,,
7/29/2018 15:59:21,USA,1966,MO,Yes,Methodist,Rawhide,Yes,elvis,No,,No,elvis,Popular,Navy,,no,,,,,,,,,,,,,1966-1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2018 0:03:09,United States,2021,Kansas,No,,Greys anatomy ,Yes,Mark Brusarrrd Rick Springfield Pat Benataur,Yes,The kind where you stand so still with so much tenision you physically shake,Yes,Was!?!?!! Prince :(,"Popular, Country, Rock n Roll",,,No (trick Answer),MARY HAD A LITTLE LAMB LITTLE LAMB LITTLE LAMB!!!!!!!!!!!!!,itzy bitzy spider ,Mary had a little lamb ,Pocket full of sunshine ,genie in a bottle ,,,,,,,Beethoven but ludwig was good too,10 in the Public school Branch,,,,,,No ,,,,,,,,,,,,,,,,,,,,,,
7/30/2018 9:44:56,United States,1987,Missouri,No,,Yes,Yes,Yes,No,,Yes,Too many to count,Popular,,,"Some Mandarin Chinese, some Cantonese, Spanish",25 or 6 to 4,25 or 6 to 4,Open Arms,Hard Habit to Break,Separate Ways,Saturday in the Park,The Warrior,West End Girls,It’s A Sin,Friends,Find A Way,Mozart,,,,,,,Reggae,Via Dolorosa,Major Tom,99 Luftballons,Thriller,Billie Jean,Rock with You,Jump,Panama,Hot for Teacher,Welcome to the Jungle,Ghostbusters,Escape (The Pina Colada Song),Copacabana,"Hello, It’s Me",,Lonesome Loser,Don’t Stop Believin’,,Any Way You Want It,Never Gonna Let You Go,Alibis,Africa
7/30/2018 11:48:23,America,1940,Kansas,Yes,Presbyteian,Jimmy Allen,Yes,,No,,Yes,Ben Kosby,"Popular, Jazz, Country, Gospel",Air Force,,Little german,,kate smith god bless america ,frank Sonotra ,judy garland over the rainbow ,benny goodman sing sing sing,you are my sunshine jimmy divas ,artie shaw star dust ,glenn miller chatanooga cho cho,elvis presly jail house rock,johnny cash,,popular,20,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,
7/30/2018 18:11:47,US,1969,Ohio,Yes,Protestant,"Shindig, Midnight Express",Yes,"Boston, Lovin Spoonful, Sonny and Cher",Yes,,Yes,Beatles,Popular,,,"French, German",,Hands Across the Water,Light My Fire,Up Up and Away,West End Girls,Nights in White Satin,Bus Stop,Cashmire,Stairway to Heaven,Avalon,Steamroller,"Mozart, Bach",,,,,,,Yes,Live and Let Die,Captain of Her Heart,Sundown,Harvest Moon,Penny Lane,,,,,,,,,,,,,,,,,
7/30/2018 19:14:42,USA,1964,MO,Yes,RLDS,This is Us,No,none,Yes,ballroom,Yes,Karen Carpenter,Popular,,,a very little Spanish,don't remember,Rhapsody in Blue,Lost in the Fifties Tonight,If,The Old Songs,What'll I Do,Behind Closed Doors,Hello Again,You Don't Bring Me Flowers,She Believes in Me,I Hope You Dance,George Gershwin,,,,,,,no,Hallelujah,Fire in the Morning,Could I Have This Dance,Misty,The Best of Strangers,The Twelfth of Never,Smoke Gets in Your Eyes,Lady,Longer,September Morn,The Wind Beneath My Wings,September Morn,Bring on the Rain,Same Old Lang Syne,,We Danced,Anyway,,Austin,Moments,Should've Never Let You Go,The Rose
8/5/2018 14:19:57,US,1965,Texas,Yes,Methodist,MASH,Yes,"Leon Russel, Willie Nelson, John Denver, Delbert McClinton, Crosby Stills Nash and Young, Neil Young, Moody Blues, Linda Ronstadt, Elton John, Bonnie Raitt, ",Yes,Any,Yes,John Denver,"Popular, Country, Rock and Roll, Blues",,,No,Hey Good Lookin,All John Denver,"All Elton John - Rocket Man, Tiny Dancer, ",All Crosby Stills Nash and Young,All Neil Young,All Linda Ronstadt,"Jerry Jeff Walker - LA Freeway, Jaded Lover, Up Against the Wall, Redneck",All Moody Blues,All Willie Nelson,All Delbert McClinton,All Leon Russell,Bach,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
8/5/2018 14:23:19,United States,1967,Pennsylvania ,Yes,Moravian (Protestant),,Yes,"Chicago, Blood Sweat & Tears",No,,Yes,Barbra Streisand,Classical,,,,‘Try To Remember’ from The Fantasticks,Yesterday,Leaving on a Jet Plane,Cherish,Somewhere,Today,Sounds of Silence,People,Blowing in the Wind,,,Brahams,,,,,,,Bagpipes in Scotland,,,,,,,,,,,,,,,,,,,,,,
8/5/2018 16:24:46,United States,1943,Illinois,Yes,Catholic,I Love Lucy,Yes,Symphony - Mozart,Yes,,Yes,,Marching Band,Air Force,,No,Ave Maria,76 Trombones,Big Band,,,,,,,,,Bach,44-45,,,,,,No,,,,,,,,,,,,,,,,,,,,,,
8/5/2018 21:25:55,United States,1964,Texas,Yes,Presbyterian,Forrest Gump,Yes,"Alabama, Johnny Rodriquez, Fats Domino",Yes,Country waltz,No,Roy Orbison,"Popular, Country",,,,Tennesse Waltz,Teen Angel,Walk Don't Run,On the Wings of a Dove,Ring of Fire ,La Bamba,Sixteen Candles,Only the Lonely,Maybeline,Blue Suede Shoes,Don't be Cruel ,,,,,,,,,Love me Tender,It's Now or Never,Something Stupid Like I Love You,These Boots are Made For Wtealking,Tell Laura I Love Her,I'm Sorry,I'm just a Lonely Boy,,,,,,,,,,,,,,,
8/5/2018 22:18:03,USA,1953,Oregon ,Yes,Episcopalian ,Esther Williams movies or Andy Hardy movies,Yes,"Sarah Vaughn, Ella Fitzgerald, Tony Mottola, Joe Pass",Yes,Basic foxtrot or maybe jitterbug.,No,Ella Fitzgerald and Nat King Cole,Jazz,,,No,"Don't recall, probably my dad playing saxophone",Tenderly by Ella Fitzgerald,Unforgettable bt Nat King Cole,Boogie Woogie Bugle Boy ,Dream a little dream of me,Fever by Peggy Lee,Shadow of your Smile,Autumn Leaves,The Way You Look Tonight,They Can't Take that away from Me,Someone to Watch Over Me,,,,,,,,Not really,Get Happy by Judy Garland,Misty by Sarah Vaughn,September Song,"Oh, What a beautiful Morning, from Oklahoma",Don't Get Around Much Anymore ,,,,,,,,,,,,,,,,,
8/6/2018 17:35:46,United States,1974,Massachusetts,Yes,Christian,Father Brown,Yes,"Aerosmith, U-2",Yes,Salsa,Yes,Dietrich Fisher Dieskau,classical,Army,,Some conversational German,Jesus Loves Me This I Know,Be Thou My Vision,You're nobody til somebody loves you,Rock around the clock tonight,Help-The Beatles,Hey Jude-The Beatles,You light up my life,Riders on the storm,The Lord's prayer,,,Johann Sebastian Bach,1976-1979,,,,,,Opera in Italy,,,,,,,,,,,,,,,,,,,,,,
8/12/2018 12:27:07,India,1987,Bihar,No,,Yes,Yes,Yes,Yes,Waltz,Yes,Mukesh,Country,Air Force,,Hindi,Chanda hai tu,Tum Pukar Lo,Ek pyar ka nagma hai,Country Roads,I'm back on my feet again,My way,Lady in Red,Save the last dance,Gambler,Me and you and a dog name boo,Sailing away,Indrajit Dutta,1992-2006,,,,,,Not clear,I'm lying in the arms of the women I love,,,,,,,,,,,,,,,,,,,,,
8/14/2018 11:21:56,USA,1965,Kansas,No,,"MASH, To Kill a Mockingbird",Yes,"Bobby Vinton, Temptations, Neil Diamond, Beach Boys, Billy Joel (when I was older)",No,"Rock and Roll, Pop (couple or single)",No,Neal Diamond,Popular,,,No,In The Mood when I was two or three,Mack the Knife,Unchained Melody (Righteous Bros.),Sitting on the Dock of the Bay (Otis Redding),Louis Louis,"Fun, Fun, Fun (Beach Boys)",My Girl (Temptations),House of the Rising Sun (Animals),Knights in White Satin,White Rabbit,Blue Velvet,,,,,,,,No,Big Bad John,Brother Love's Traveling Salvation Show,Piano Man,Bridge Over Troubled Water,Sounds of Silence,Desperado (Ronstadt or Eagles),Only the Good Die Young,Wagon Wheel (Old Crow Medicine Show),Stayin' Alive,Rock Around the Clock,Beautiful Noise (Neil Diamond),Kicks (Paul Revere and the Raiders),Take It Easy (Eagles),Bobby McGee (Janis Joplin),,Proud Mary,Midnight Hour,,A Place for Us (Westside Story),Wouldn't It Be Loverly (My Fair Lady),Bring Him Home (Les Miserable),This Land Is Your Land This Land is My Land
8/14/2018 14:51:00,US,1994,Tennessee,Yes,Christian,Yes,Yes,"Rick Springfield, Queen, Bruno Mars, Journey",Yes,Ballroom,No,Rick Springfield,Popular,,,Learning French,Jessie’s Girl,Love is alright tonight,Bohemian rasphody ,Carry on my wayward son,Uptown girl,We didn’t start the fire,Earth angel,Blue moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
